time,open,high,low,close,Volume,Volume MA
1643317560,4.414,4.414,4.413,4.4135,18,26.6
1643317620,4.413,4.4145,4.413,4.4145,20,26.2
1643317680,4.414,4.414,4.413,4.413,17,24.9
1643317740,4.4135,4.414,4.4125,4.414,20,23.55
1643317800,4.4135,4.4135,4.413,4.413,7,20.3
1643317860,4.4125,4.4125,4.411,4.4115,18,18.1
1643317920,4.4115,4.412,4.411,4.411,40,19.35
1643317980,4.411,4.4125,4.411,4.4125,32,19.3
1643318040,4.4125,4.4125,4.4115,4.4115,22,19.85
1643318100,4.4115,4.4115,4.411,4.411,21,20.65
1643318160,4.4115,4.412,4.4115,4.412,9,20.6
1643318220,4.412,4.4125,4.4115,4.412,13,20.7
1643318280,4.4125,4.414,4.4125,4.4135,12,18.85
1643318340,4.4135,4.414,4.4135,4.414,5,18.1
1643318400,4.414,4.4145,4.414,4.414,13,16.8
1643318520,4.4145,4.415,4.4145,4.415,4,16
1643318580,4.4145,4.4145,4.414,4.4145,9,16.25
1643318640,4.4145,4.4145,4.4135,4.4135,7,16.15
1643318700,4.4135,4.4135,4.4135,4.4135,5,16.1
1643318760,4.4135,4.4135,4.4135,4.4135,20,15.6
1643318820,4.4135,4.4135,4.411,4.411,26,16
1643318880,4.411,4.411,4.41,4.41,12,15.6
1643318940,4.41,4.41,4.4095,4.4095,8,15.15
1643319000,4.411,4.4145,4.41,4.413,73,17.8
1643319060,4.4135,4.4135,4.412,4.4135,28,18.85
1643319120,4.4135,4.4135,4.413,4.4135,16,18.75
1643319180,4.414,4.416,4.414,4.416,14,17.45
1643319240,4.416,4.4165,4.415,4.4155,38,17.75
1643319300,4.416,4.4165,4.415,4.416,28,18.05
1643319360,4.416,4.417,4.416,4.417,20,18
1643319420,4.4165,4.417,4.4155,4.416,23,18.7
1643319480,4.4155,4.416,4.415,4.4155,19,19
1643319540,4.4155,4.4155,4.4155,4.4155,32,20
1643319600,4.416,4.4165,4.4155,4.4165,18,20.65
1643319660,4.417,4.4175,4.417,4.4175,11,20.55
1643319720,4.418,4.419,4.4175,4.419,17,21.2
1643319780,4.4185,4.4185,4.418,4.4185,16,21.55
1643319840,4.419,4.419,4.418,4.418,10,21.7
1643319900,4.4185,4.4195,4.418,4.4195,18,22.35
1643319960,4.4195,4.4195,4.419,4.4195,13,22
1643320020,4.4195,4.4195,4.4195,4.4195,1,20.75
1643320080,4.42,4.42,4.42,4.42,1,20.2
1643320140,4.42,4.42,4.4195,4.4195,22,20.9
1643320200,4.42,4.42,4.419,4.419,11,17.8
1643320260,4.419,4.4195,4.419,4.419,13,17.05
1643320320,4.419,4.419,4.4185,4.4185,5,16.5
1643320440,4.4185,4.4185,4.4165,4.4165,6,16.1
1643320500,4.417,4.417,4.417,4.417,2,14.3
1643320560,4.417,4.417,4.4165,4.417,3,13.05
1643320680,4.417,4.4175,4.417,4.4175,26,13.35
1643320740,4.417,4.4175,4.4145,4.4155,24,13.4
1643324400,4.4205,4.422,4.4205,4.421,25,13.7
1643324460,4.421,4.4225,4.421,4.4215,16,12.9
1643324520,4.4215,4.4235,4.4215,4.4235,16,12.8
