time,open,high,low,close,Volume,Volume MA
1643320440,1.03756,1.0375699999999999,1.03747,1.03755,29,27.35
1643320500,1.03755,1.03755,1.03752,1.03753,8,27.35
1643320560,1.03753,1.0375699999999999,1.03751,1.0375699999999999,23,27.8
1643320620,1.0375699999999999,1.03758,1.03739,1.03749,71,30.6
1643320680,1.03749,1.0375699999999999,1.03746,1.03756,49,32.85
1643320740,1.03756,1.03761,1.03707,1.03707,68,34.8
1643320800,1.03707,1.03707,1.03698,1.03698,2,34.6
1643320860,1.03698,1.03698,1.03698,1.03698,1,33.65
1643320920,1.03698,1.03703,1.03698,1.03703,1,33.45
1643321040,1.03703,1.03703,1.03703,1.03703,3,33.2
1643321100,1.03703,1.03709,1.03703,1.03708,8,33.2
1643321160,1.03708,1.03712,1.03708,1.03712,3,33.05
1643321220,1.03712,1.03712,1.03709,1.03709,16,33.6
1643321280,1.03709,1.03715,1.03709,1.03709,19,34.5
1643321340,1.03709,1.0371299999999999,1.03709,1.03712,4,34.2
1643321400,1.03712,1.03718,1.03712,1.03717,13,33.05
1643321460,1.03717,1.03724,1.0371599999999999,1.0371599999999999,8,28
1643321520,1.0371599999999999,1.03717,1.03712,1.03717,6,19.15
1643321580,1.03717,1.03717,1.03711,1.0371599999999999,27,19.75
1643321640,1.0371599999999999,1.03718,1.03708,1.03708,19,18.9
1643321700,1.03708,1.03708,1.0369899999999999,1.0369899999999999,10,17.95
1643321760,1.0369899999999999,1.03728,1.03698,1.03728,3,17.7
1643321820,1.03728,1.03728,1.03728,1.03728,23,17.7
1643321880,1.03728,1.03728,1.03728,1.03728,1,14.2
1643321940,1.03728,1.03728,1.0368899999999999,1.03692,2,11.85
1643322000,1.03692,1.03705,1.03692,1.0369599999999999,6,8.75
1643322060,1.0369599999999999,1.03704,1.0369599999999999,1.03698,12,9.25
1643322120,1.03698,1.03698,1.03698,1.03698,3,9.35
1643322180,1.03698,1.03698,1.03698,1.03698,16,10.1
1643322240,1.03698,1.03698,1.0368,1.0368,4,10.15
1643322300,1.0368,1.0368,1.03678,1.03678,3,9.9
1643322360,1.03678,1.03705,1.03678,1.0368,4,9.95
1643322420,1.0368,1.03684,1.0368,1.03684,2,9.25
1643322480,1.03684,1.03693,1.0368,1.0368,16,9.1
1643322540,1.0368,1.03691,1.0368,1.03686,8,9.3
1643322600,1.03686,1.03709,1.03676,1.03685,38,10.55
1643322660,1.03685,1.03698,1.03675,1.03698,11,10.7
1643322720,1.03698,1.03698,1.03695,1.0369599999999999,4,10.6
1643322780,1.0369599999999999,1.0369599999999999,1.03695,1.0369599999999999,2,9.35
1643322840,1.0369599999999999,1.03698,1.0369599999999999,1.03698,13,9.05
1643322960,1.03698,1.0370599999999999,1.0367899999999999,1.0370599999999999,15,9.3
1643323020,1.0370599999999999,1.0370599999999999,1.03697,1.03698,5,9.4
1643323080,1.03698,1.037,1.03698,1.037,1,8.3
1643323140,1.037,1.037,1.03694,1.03694,5,8.5
1643323200,1.03694,1.03697,1.03694,1.03694,4,8.6
1643323260,1.03694,1.03697,1.03694,1.0369599999999999,16,9.1
1643323320,1.0369599999999999,1.03697,1.03694,1.03697,5,8.75
1643323380,1.03697,1.03697,1.03694,1.03697,12,9.2
1643323440,1.03697,1.03698,1.03697,1.03698,2,8.5
1643323500,1.03698,1.0371,1.03698,1.03704,14,9
1643323560,1.03704,1.03704,1.03702,1.03703,2,8.95
1643323620,1.03703,1.03704,1.03702,1.03702,4,8.95
1643323680,1.03702,1.03703,1.03702,1.03703,5,9.1
1643323740,1.03703,1.03711,1.03702,1.03711,9,8.75
1643323800,1.03711,1.03714,1.03708,1.03711,31,9.9
1643323860,1.03711,1.03715,1.0371,1.03715,21,9.05
1643323920,1.03715,1.03718,1.03712,1.03717,24,9.7
1643323980,1.03717,1.03718,1.03714,1.03715,9,9.95
1643324040,1.03715,1.03717,1.03715,1.03715,23,11
1643324100,1.03715,1.03715,1.03711,1.0371299999999999,10,10.85
1643324160,1.0371299999999999,1.03717,1.03711,1.03715,15,10.85
1643324220,1.03715,1.0372,1.03705,1.0371599999999999,54,13.3
1643324280,1.0371599999999999,1.0372299999999999,1.03692,1.0371,111,18.8
1643324340,1.0371,1.0372,1.0369899999999999,1.03701,77,22.4
1643324400,1.03701,1.03743,1.03701,1.03726,266,35.5
1643324460,1.03726,1.03728,1.0372299999999999,1.03725,51,37.25
1643324520,1.03725,1.03743,1.03725,1.03743,51,39.55
1643324580,1.03743,1.03744,1.03737,1.03738,47,41.3
1643324640,1.03738,1.03744,1.03738,1.03744,17,42.05
1643324700,1.03744,1.03744,1.03735,1.03739,35,43.1
1643324760,1.03739,1.03743,1.0373299999999999,1.03743,39,44.95
1643324820,1.03743,1.03746,1.03743,1.03745,28,46.15
1643324880,1.03745,1.03749,1.03742,1.03744,59,48.85
1643324940,1.03744,1.03744,1.03741,1.03742,9,48.85
1643325000,1.03742,1.03745,1.03735,1.03742,53,49.95
1643325060,1.03742,1.03746,1.03742,1.03746,11,49.45
