time,open,high,low,close,Volume,Volume MA
1643318520,1.11444,1.11446,1.11441,1.11444,8,8.7
1643318640,1.11444,1.11444,1.11434,1.11435,9,9.1
1643318700,1.11435,1.11435,1.11426,1.11426,7,9.15
1643318760,1.11426,1.11428,1.11424,1.11424,3,7.8
1643318820,1.11424,1.11426,1.11422,1.11423,8,7.15
1643318880,1.11423,1.11423,1.11421,1.11421,1,7
1643318940,1.11421,1.11438,1.11421,1.11425,22,8
1643319000,1.11425,1.1143,1.11422,1.11426,19,8.1
1643319060,1.11426,1.11432,1.11426,1.11432,3,7.9
1643319120,1.11432,1.11436,1.11432,1.11434,7,7.75
1643319180,1.11434,1.11435,1.11434,1.11435,1,7.45
1643319240,1.11435,1.11436,1.11432,1.11436,5,7.45
1643319300,1.11436,1.11436,1.11432,1.11432,4,7.35
1643319360,1.11432,1.11434,1.11432,1.11434,1,6.8
1643319420,1.11434,1.11438,1.11434,1.11436,7,6.65
1643319480,1.11436,1.11437,1.11436,1.11437,1,6.05
1643319540,1.11437,1.11444,1.11437,1.11442,5,6.25
1643319600,1.11442,1.11445,1.11442,1.11444,3,6.25
1643319660,1.11444,1.11446,1.11442,1.11446,3,6.05
1643319780,1.11446,1.11447,1.11446,1.11447,1,5.9
1643319840,1.11447,1.1145,1.11447,1.1145,2,5.6
1643319900,1.1145,1.11452,1.1145,1.11452,5,5.4
1643319960,1.11452,1.11452,1.1145,1.11451,5,5.3
1643320020,1.11451,1.11452,1.11451,1.11451,2,5.25
1643320080,1.11451,1.11451,1.11442,1.11442,5,5.1
1643320140,1.11442,1.11451,1.11442,1.11451,8,5.45
1643320200,1.11451,1.11451,1.11442,1.11444,13,5
1643320260,1.11444,1.11444,1.11439,1.11441,6,4.35
1643320380,1.11441,1.11441,1.11436,1.11436,3,4.35
1643320440,1.11436,1.11439,1.11436,1.11439,4,4.2
1643320500,1.11439,1.11439,1.11436,1.11436,2,4.25
1643320560,1.11436,1.11436,1.1143,1.11436,13,4.65
1643320620,1.11436,1.11441,1.1143,1.11441,11,5
1643320680,1.11441,1.11441,1.11441,1.11441,1,5
1643320980,1.11441,1.11473,1.11441,1.11472,3,4.8
1643321100,1.11472,1.11472,1.11456,1.11456,3,4.9
1643321340,1.11456,1.11456,1.11451,1.11451,1,4.7
1643321580,1.11451,1.11456,1.11423,1.11444,10,5.05
1643321640,1.11444,1.11444,1.1142,1.11432,7,5.25
1643321700,1.11432,1.11432,1.1142,1.1142,13,5.85
1643321820,1.1142,1.11441,1.1142,1.11441,4,5.95
1643321880,1.11441,1.11441,1.1141,1.11414,4,5.9
1643321940,1.11414,1.11422,1.11414,1.11422,2,5.75
1643322180,1.11422,1.11425,1.11394,1.11424,31,7.2
1643322240,1.11424,1.11424,1.1142,1.1142,1,7
1643322360,1.1142,1.11422,1.11416,1.11422,3,6.75
1643322480,1.11422,1.11425,1.11416,1.11418,5,6.35
1643322540,1.11418,1.11419,1.11413,1.11417,16,6.85
1643322600,1.11417,1.11426,1.11413,1.11426,10,7.2
1643322660,1.11426,1.11426,1.11422,1.11422,1,7.05
1643322780,1.11422,1.11426,1.1142,1.11424,4,7.15
1643322840,1.11424,1.11429,1.11418,1.11422,6,6.8
1643322900,1.11422,1.1143,1.11422,1.1143,6,6.55
1643322960,1.1143,1.11438,1.11424,1.11438,6,6.8
1643323020,1.11438,1.11446,1.11438,1.1144,2,6.75
1643323080,1.1144,1.1144,1.11436,1.11436,1,6.65
1643323140,1.11436,1.11439,1.11436,1.11439,1,6.65
1643323560,1.11439,1.11439,1.11433,1.11433,3,6.3
1643323680,1.11433,1.11436,1.11433,1.11436,1,6
1643323800,1.11436,1.11442,1.11436,1.1144,3,5.5
1643323920,1.1144,1.11442,1.11438,1.11438,4,5.5
1643323980,1.11438,1.11441,1.11438,1.11438,2,5.4
1643324160,1.11438,1.11438,1.11436,1.11436,1,5.35
1643324220,1.11436,1.1144,1.11432,1.11433,5,4.05
1643324280,1.11433,1.11457,1.11433,1.11453,10,4.5
1643324340,1.11453,1.11456,1.11444,1.11444,8,4.75
1643324400,1.11444,1.11458,1.11442,1.11452,37,6.35
1643324460,1.11452,1.11454,1.11445,1.11447,24,6.75
1643324520,1.11447,1.11464,1.11447,1.11463,22,7.35
1643324580,1.11463,1.11463,1.11452,1.11454,14,8
1643324640,1.11454,1.1146,1.11454,1.1146,6,8.1
1643324700,1.1146,1.1146,1.1145,1.11452,11,8.35
1643324760,1.11452,1.11456,1.11446,1.11456,13,8.7
1643324820,1.11456,1.11458,1.11454,1.11456,4,8.6
1643324880,1.11456,1.11459,1.11448,1.11448,27,9.85
1643324940,1.11448,1.1145,1.11448,1.11448,4,10
1643325000,1.11448,1.11452,1.11436,1.11438,24,11.15
1643325060,1.11438,1.11444,1.11438,1.11444,4,11.2
1643325120,1.11444,1.1145,1.11444,1.11449,12,11.75
1643325180,1.11449,1.11452,1.11449,1.11452,2,11.7
1643325240,1.11452,1.11454,1.11452,1.11452,2,11.6
1643325300,1.11452,1.11454,1.11448,1.11449,10,12
1643325360,1.11449,1.11453,1.11446,1.11448,7,12.3
1643325420,1.11448,1.1145,1.11446,1.11448,6,12.35
1643325480,1.11448,1.11448,1.11438,1.11443,20,12.85
1643325540,1.11443,1.11446,1.11433,1.11433,21,13.5
1643325600,1.11433,1.11436,1.11429,1.11432,16,12.45
1643325660,1.11432,1.11434,1.1143,1.11432,4,11.45
1643325720,1.11432,1.11438,1.11432,1.11434,11,10.9
1643325780,1.11434,1.11434,1.1143,1.1143,3,10.35
1643325840,1.1143,1.1143,1.11419,1.11419,10,10.55
1643325900,1.11419,1.11425,1.11419,1.11424,13,10.65
1643325960,1.11424,1.11432,1.11424,1.11432,4,10.2
1643326020,1.11432,1.11436,1.11429,1.11435,10,10.5
1643326080,1.11435,1.11435,1.1143,1.1143,3,9.3
1643326140,1.1143,1.11434,1.1143,1.1143,7,9.45
1643326200,1.1143,1.11442,1.1143,1.11438,15,9
1643326260,1.11438,1.1144,1.11432,1.11432,16,9.6
1643326320,1.11432,1.11438,1.11432,1.11438,5,9.25
1643326380,1.11438,1.11442,1.11437,1.11442,6,9.45
1643326440,1.11442,1.11451,1.11442,1.1145,9,9.8
1643326500,1.1145,1.11453,1.11447,1.1145,7,9.65
1643326560,1.1145,1.11458,1.11448,1.11452,26,10.6
1643326620,1.11452,1.11454,1.11452,1.11454,1,10.35
1643326680,1.11454,1.11454,1.11448,1.11448,4,9.55
1643326740,1.11448,1.11448,1.11444,1.11448,4,8.7
1643326800,1.11448,1.11448,1.11448,1.11448,1,7.95
1643326860,1.11448,1.1145,1.11446,1.1145,6,8.05
1643326920,1.1145,1.11454,1.11446,1.11448,11,8.05
1643326980,1.11448,1.11466,1.11448,1.11466,17,8.75
1643327040,1.11466,1.11468,1.11461,1.11466,17,9.1
1643327100,1.11466,1.11466,1.11459,1.11459,11,9
1643327160,1.11459,1.1146,1.11458,1.1146,10,9.3
1643327220,1.1146,1.1146,1.11458,1.11458,6,9.1
1643327280,1.11458,1.11459,1.11458,1.11459,1,9
1643327340,1.11459,1.11459,1.11454,1.11454,4,8.85
1643327400,1.11454,1.11454,1.11452,1.11452,1,8.15
1643327460,1.11452,1.11452,1.1145,1.1145,1,7.4
1643327520,1.1145,1.11454,1.1145,1.11451,6,7.45
1643327580,1.11451,1.11451,1.11444,1.11444,10,7.65
1643327640,1.11444,1.11446,1.11438,1.1144,7,7.55
1643327700,1.1144,1.11444,1.1144,1.11442,5,7.45
1643327760,1.11442,1.11442,1.11438,1.11438,4,6.35
1643327820,1.11438,1.11438,1.11433,1.11434,9,6.75
1643327880,1.11434,1.11437,1.1143,1.11436,19,7.5
1643327940,1.11436,1.11446,1.11434,1.11444,15,8.05
1643328000,1.11444,1.11458,1.11442,1.11458,28,9.4
1643328060,1.11458,1.11458,1.11432,1.11438,34,10.8
1643328120,1.11438,1.1144,1.11434,1.11434,12,10.85
1643328180,1.11434,1.11434,1.11422,1.11422,24,11.2
1643328240,1.11422,1.11438,1.11422,1.11434,16,11.15
1643328300,1.11434,1.11436,1.11434,1.11436,5,10.85
1643328360,1.11436,1.11445,1.11434,1.11444,29,11.8
1643328420,1.11444,1.11445,1.11434,1.1144,18,12.4
1643328480,1.1144,1.1144,1.11424,1.11427,33,14
1643328540,1.11427,1.11432,1.11423,1.11424,22,14.9
1643328600,1.11424,1.11429,1.11412,1.11412,48,17.25
1643328660,1.11412,1.11416,1.11392,1.11392,41,19.25
1643328720,1.11392,1.11398,1.11386,1.11396,17,19.8
1643328780,1.11396,1.11402,1.11392,1.114,17,20.15
1643328840,1.114,1.11401,1.11386,1.11387,38,21.7
1643328900,1.11387,1.11398,1.11384,1.11396,54,24.15
1643328960,1.11396,1.11399,1.11384,1.11386,35,25.7
1643329020,1.11386,1.11393,1.11384,1.11393,20,26.25
1643329080,1.11393,1.11394,1.11388,1.11388,19,26.25
1643329140,1.11388,1.11393,1.11387,1.11388,32,27.1
1643329200,1.11388,1.11397,1.11388,1.11392,15,26.45
1643329260,1.11392,1.11392,1.1138,1.11383,16,25.55
1643329320,1.11383,1.11389,1.11382,1.11386,15,25.7
1643329380,1.11386,1.11388,1.11382,1.11388,14,25.2
1643329440,1.11388,1.11404,1.11387,1.11404,25,25.65
1643329500,1.11404,1.1142,1.11404,1.11415,39,27.35
1643329560,1.11415,1.11416,1.11412,1.11412,8,26.3
1643329620,1.11412,1.11413,1.1141,1.1141,8,25.8
1643329680,1.1141,1.1142,1.1141,1.1142,16,24.95
1643329740,1.1142,1.11424,1.11412,1.11412,24,25.05
1643329800,1.11412,1.1142,1.1141,1.11417,19,23.6
1643329860,1.11417,1.11425,1.11416,1.11425,13,22.2
