time,open,high,low,close,Volume,Volume MA
1643324940,1796.65,1796.784,1795.8,1796.744,360,413.6
1643325000,1796.72,1796.835,1795.7,1796.814,498,414
1643325060,1796.78,1796.845,1795.8,1796.71,408,411.4
1643325120,1796.699,1797.24,1796,1797.21,465,393.8
1643325180,1797.23,1797.43,1796.3,1797.37,183,371.9
1643325240,1797.32,1797.54,1796.5,1797.49,330,351.45
1643325300,1797.37,1797.63,1797.2,1797.61,607,381.05
1643325360,1797.48,1797.695,1796.7,1797.648,208,390.8
1643325420,1797.608,1797.86,1796.8,1797.77,179,399.65
1643325480,1797.77,1797.85,1797.4,1797.81,291,414
1643325540,1797.68,1797.81,1796.8,1797.6,377,432.05
1643325600,1797.526,1797.76,1796.6,1797.64,450,412.15
1643325660,1797.64,1797.64,1796.6,1797.39,426,395.35
1643325720,1797.32,1797.74,1796.5,1797.72,492,388.65
1643325780,1797.695,1797.75,1796.6,1797.37,408,390.6
1643325840,1797.29,1797.48,1796.5,1797.21,525,389.3
1643325900,1797.09,1797.42,1796.2,1797.384,360,383.1
1643325960,1797.4,1797.42,1796.4,1797.19,401,385.4
1643326020,1797.18,1797.53,1796.3,1797.3,456,391.65
1643326080,1797.395,1797.92,1796.2,1797.834,524,397.4
1643326140,1797.748,1797.97,1796.8,1797.96,471,402.95
1643326200,1797.85,1797.97,1797.3,1797.578,544,405.25
1643326260,1797.7,1798.09,1796.6,1797.6,483,409
1643326320,1797.99,1798.23,1796.8,1797.91,399,405.7
1643326380,1797.995,1798.05,1796.7,1798.01,517,422.4
1643326440,1797.89,1798.25,1797.2,1797.98,504,431.1
1643326500,1797.6,1798.25,1797.1,1798.08,457,423.6
1643326560,1797.93,1798.34,1797.2,1798.07,449,435.65
1643326620,1798.07,1798.12,1797,1797.768,455,449.45
1643326680,1797.94,1798.04,1797,1797.38,508,460.3
1643326740,1797.22,1797.39,1796.3,1797.37,372,460.05
1643326800,1797.259,1797.82,1796.5,1797.59,506,462.85
1643326860,1797.614,1797.74,1796.5,1797.24,487,465.9
1643326920,1797.134,1797.61,1796.3,1797.24,559,469.25
1643326980,1797.09,1797.37,1796.1,1797.37,585,478.1
1643327040,1797.315,1797.77,1796.2,1797.6,513,477.5
1643327100,1797.61,1797.67,1796.6,1797.159,657,492.35
1643327160,1797.13,1797.32,1796.2,1796.81,635,504.05
1643327220,1796.819,1797.5,1795.5,1797.29,655,514
1643327280,1797.175,1797.71,1796.1,1797.435,437,509.65
1643327340,1797.53,1797.71,1797.1,1797.495,476,509.9
1643327400,1797.554,1797.61,1796,1796.99,558,510.6
1643327460,1796.85,1797.32,1796.2,1796.99,582,515.55
1643327520,1796.98,1797.39,1796.3,1797.26,488,520
1643327580,1797.28,1797.33,1796,1797.02,499,519.1
1643327640,1797.02,1797.17,1796.2,1796.7,502,519
1643327700,1796.91,1797.09,1795.8,1796.5,441,518.2
1643327760,1796.75,1796.99,1795.9,1796.8,457,518.6
1643327820,1796.728,1797.19,1796,1797.115,474,519.55
1643327880,1797.15,1797.18,1796.1,1796.81,693,528.8
1643327940,1796.84,1797.29,1795.9,1796.9,529,536.65
1643328000,1797.3,1797.3,1795.7,1796.51,1149,568.8
1643328060,1796.33,1796.47,1795.2,1796.31,727,580.8
1643328120,1796.18,1796.63,1795.4,1796.31,589,582.3
1643328180,1796.31,1796.38,1795.2,1795.87,613,583.7
1643328240,1795.87,1796.68,1794.9,1796.3,719,594
1643328300,1796.59,1796.72,1795.5,1796.5,641,593.2
1643328360,1796.498,1796.76,1795.8,1796.68,640,593.45
1643328420,1796.68,1796.68,1795.5,1796.2,463,583.85
1643328480,1796.17,1796.38,1795.3,1796.12,663,595.15
1643328540,1796.26,1796.31,1795,1796.13,723,607.5
1643328600,1796.13,1796.22,1795.1,1795.6,590,609.1
1643328660,1795.96,1796.13,1794.8,1795.759,818,620.9
1643328720,1795.795,1796.07,1794.9,1796.06,458,619.4
1643328780,1795.92,1796.19,1795.1,1795.855,529,620.9
1643328840,1795.96,1796.04,1795,1795.93,570,624.3
1643328900,1795.839,1796.16,1795.1,1795.8,806,642.55
1643328960,1796.09,1796.2,1794.9,1795.99,411,640.25
1643329020,1795.89,1796.01,1794.8,1795.875,470,640.05
1643329080,1795.6,1796.11,1795.6,1795.9,441,627.45
1643329140,1796.02,1796.02,1795.4,1795.79,513,626.65
1643329200,1795.705,1795.87,1794.5,1795.66,505,594.45
1643329260,1795.575,1795.68,1794.8,1795.126,475,581.85
1643329320,1795.088,1795.31,1794,1795.19,756,590.2
1643329380,1795.19,1795.66,1794.7,1795.56,589,589
1643329440,1795.56,1796.05,1794.3,1795.96,602,583.15
1643329500,1795.6,1796.2,1794.8,1795.7,816,591.9
1643329560,1795.93,1796.2,1795,1796.16,735,596.65
1643329620,1796.02,1796.31,1795.2,1795.97,771,612.05
1643329680,1796.09,1796.15,1794.9,1795.66,756,616.7
1643329740,1795.67,1795.99,1794.7,1795.79,416,601.35
1643329800,1795.69,1795.92,1794.7,1795.78,516,597.65
1643329860,1795.755,1796.27,1795,1796.26,719,592.7
1643329920,1796.11,1796.26,1794.9,1795.95,696,604.6
1643329980,1795.775,1796.02,1795,1795.69,561,606.2
1643330040,1795.703,1795.82,1794.7,1795.59,600,607.7
1643330100,1795.604,1795.71,1795.1,1795.2,485,591.65
1643330160,1795.46,1795.59,1794.5,1795.41,658,604
1643330220,1795.42,1795.89,1794.7,1795.77,762,618.6
1643330280,1795.62,1796.08,1794.9,1796.05,513,622.2
1643330340,1795.86,1796.15,1795,1796.12,517,622.4
1643330400,1796.12,1796.15,1795,1795.79,676,630.95
1643330460,1795.76,1795.82,1794.8,1795.568,486,631.5
1643330520,1795.69,1796.1,1795,1796.09,442,615.8
1643330580,1796.019,1796.41,1795.2,1796.255,653,619
1643330640,1796.239,1796.32,1795,1796.22,655,621.65
1643330700,1796.09,1796.39,1795.1,1796.36,443,603
1643330760,1796.36,1796.49,1795.9,1796.43,643,598.4
1643330820,1796.384,1796.71,1795.2,1796.67,507,585.2
1643330880,1796.67,1797.14,1795.4,1797.055,511,572.95
1643330940,1797.1,1797.18,1795.8,1797.04,504,577.35
1643331000,1797.04,1797.04,1796.2,1796.6,473,575.2
1643331060,1796.6,1796.6,1795.2,1796.4,474,562.95
1643331120,1796,1796.68,1795.3,1796.3,651,560.7
1643331180,1796.54,1796.72,1795.4,1796.5,596,562.45
1643331240,1796.5,1796.69,1796.1,1796.44,696,567.25
1643331300,1796.255,1796.54,1795.2,1796.52,565,571.25
1643331360,1796.1,1796.72,1795.3,1796.3,790,577.85
1643331420,1796.7,1797.01,1795.4,1796.6,466,563.05
1643331480,1796.87,1796.99,1795.6,1796.92,614,568.1
1643331540,1796.864,1797.31,1795.9,1797.09,880,586.25
1643331600,1796.8,1797.26,1795.7,1796.41,2228,663.85
1643331660,1796.41,1797.25,1795.3,1796.96,1909,735
1643331720,1796.908,1797.56,1795.7,1797.35,1939,809.85
1643331780,1797.243,1797.64,1796.3,1796.91,1528,853.6
1643331840,1796.76,1797.24,1795.8,1797.03,1444,893.05
1643331900,1796.994,1797.51,1795.6,1796.6,1548,948.3
1643331960,1796.59,1796.95,1795,1796.823,1797,1006
1643332020,1796.824,1796.915,1795.4,1796.76,1710,1066.15
1643332080,1796.64,1797.07,1795.8,1796.92,1218,1101.5
1643332140,1797.024,1797.1,1795.9,1796.838,1117,1132.15
1643332200,1796.93,1797.23,1796,1797.124,1041,1160.55
1643332260,1797.15,1797.24,1796,1796.874,882,1180.95
1643332320,1796.9,1797.205,1796.1,1796.84,1225,1209.65
1643332380,1796.939,1797.104,1796,1796.83,1138,1236.75
1643332440,1796.95,1797.33,1795.9,1797.2,1191,1261.5
1643332500,1797.09,1797.38,1796.3,1797.1,1038,1285.15
1643332560,1797.104,1797.46,1796.1,1797.12,1069,1299.1
1643332620,1797.27,1797.275,1795.9,1796.98,846,1318.1
1643332680,1796.85,1797.11,1795.6,1796.93,996,1337.2
1643332740,1797.04,1797.27,1795.8,1796.8,920,1339.2
1643332800,1797.07,1797.63,1796.2,1797.49,1070,1281.3
1643332860,1797.36,1797.84,1796.5,1797.77,762,1223.95
1643332920,1797.83,1797.97,1796.6,1797.93,646,1159.3
1643332980,1797.93,1798.01,1796.6,1797.488,890,1127.4
