time,open,high,low,close,Volume,Volume MA
1643121840,14230.1975,14243.708,14222.4883,14226.6119,NaN,NaN
1643121900,14225.7765,14225.7765,14168.8084,14168.8084,NaN,NaN
1643121960,14166.4555,14176.8954,14143.7112,14153.8826,NaN,NaN
1643122020,14154.3066,14163.6509,14135.6628,14135.6628,NaN,NaN
1643122080,14141.2567,14157.6604,14132.7694,14150.0648,NaN,NaN
1643122140,14149.7558,14157.3019,14125.0655,14134.7063,NaN,NaN
1643122200,14134.5767,14158.5345,14123.7929,14157.4457,NaN,NaN
1643122260,14152.4157,14152.7943,14117.3702,14137.1815,NaN,NaN
1643122320,14136.1633,14140.0297,14112.3544,14112.3544,NaN,NaN
1643122380,14112.062,14112.3214,14095.4742,14098.4321,NaN,NaN
1643122440,14097.4128,14108.2816,14086.5092,14086.5092,NaN,NaN
1643122500,14087.4825,14122.5038,14087.4825,14104.9614,NaN,NaN
1643122560,14104.0619,14113.8939,14097.0841,14111.1516,NaN,NaN
1643122620,14110.8891,14136.3823,14110.8891,14128.6232,NaN,NaN
1643122680,14127.2358,14132.6788,14110.0036,14118.2991,NaN,NaN
1643122740,14116.5198,14120.5879,14103.8718,14112.8415,NaN,NaN
1643122800,14113.7597,14141.6797,14109.6008,14130.1805,NaN,NaN
1643122860,14130.0087,14130.3467,14091.8584,14091.8584,NaN,NaN
1643122920,14085.0619,14092.5046,14077.7362,14081.544,NaN,NaN
1643122980,14085.5471,14087.8125,14063.9213,14067.0046,NaN,NaN
1643123040,14065.0327,14081.148,14058.5286,14069.983,NaN,NaN
1643123100,14071.2305,14082.3332,14061.4535,14069.7884,NaN,NaN
1643123160,14070.4003,14088.9911,14061.3379,14064.0793,NaN,NaN
1643123220,14064.1123,14078.7692,14062.7027,14062.9829,NaN,NaN
1643123280,14065.4628,14090.3652,14063.6167,14090.3652,NaN,NaN
1643123340,14089.9694,14103.6443,14080.421,14101.5719,NaN,NaN
1643123400,14101.3726,14101.3726,14075.4768,14089.9794,NaN,NaN
1643123460,14089.4203,14089.4203,14076.0593,14079.6892,NaN,NaN
1643123520,14078.8311,14079.073,14060.7774,14069.161,NaN,NaN
1643123580,14068.4351,14094.9783,14068.4351,14094.9783,NaN,NaN
1643123640,14095.5013,14131.2155,14091.4198,14131.2155,NaN,NaN
1643123700,14134.7635,14134.7635,14121.4275,14122.724,NaN,NaN
1643123760,14122.7543,14154.1432,14121.2177,14141.4835,NaN,NaN
1643123820,14142.0532,14142.7005,14125.1975,14129.2472,NaN,NaN
1643123880,14134.8443,14150.4661,14131.0978,14131.0978,NaN,NaN
1643123940,14131.8498,14147.5318,14131.8498,14132.7538,NaN,NaN
1643124000,14132.6714,14132.6714,14097.7011,14099.4186,NaN,NaN
1643124060,14101.3041,14118.2748,14093.308,14118.2748,NaN,NaN
1643124120,14117.5461,14118.1378,14107.6318,14113.8079,NaN,NaN
1643124180,14109.4722,14129.0768,14108.7576,14128.8812,NaN,NaN
1643124240,14127.1071,14128.0125,14113.2458,14113.2458,NaN,NaN
1643124300,14111.9218,14119.6273,14100.0676,14119.6273,NaN,NaN
1643124360,14124.4665,14165.5612,14124.4665,14159.2811,NaN,NaN
1643124420,14159.6694,14175.0051,14159.6694,14173.943,NaN,NaN
1643124480,14173.0556,14198.2948,14173.0556,14195.8088,NaN,NaN
1643124540,14195.7107,14219.3213,14195.6854,14219.3213,NaN,NaN
1643124600,14221.1485,14221.1485,14203.7078,14206.8594,NaN,NaN
1643124660,14206.9182,14208.7918,14199.2866,14206.7137,NaN,NaN
1643124720,14204.9989,14204.9989,14190.3807,14191.0922,NaN,NaN
1643124780,14191.0947,14207.079,14191.0947,14204.0465,NaN,NaN
1643124840,14203.9661,14203.9661,14194.5286,14200.068,NaN,NaN
1643124900,14200.689,14232.3992,14197.6152,14203.4507,NaN,NaN
1643124960,14203.474,14206.2812,14169.2064,14169.2064,NaN,NaN
1643125020,14165.9386,14170.3113,14137.63,14139.3638,NaN,NaN
1643125080,14139.4076,14152.5136,14139.4076,14148.6207,NaN,NaN
1643125140,14148.8783,14161.626,14148.2508,14159.3941,NaN,NaN
1643125200,14159.1996,14169.1033,14149.4418,14163.7802,NaN,NaN
1643125260,14163.7796,14163.8887,14146.6964,14152.0089,NaN,NaN
1643125320,14152.0851,14163.2364,14146.7461,14158.0755,NaN,NaN
1643125380,14157.4449,14163.4917,14148.9146,14155.0836,NaN,NaN
1643125440,14155.0709,14204.1856,14155.0709,14204.1856,NaN,NaN
1643125500,14208.1229,14224.691,14207.3441,14214.0264,NaN,NaN
1643125560,14215.337,14215.337,14197.4323,14197.4323,NaN,NaN
1643125620,14198.7275,14223.4205,14198.7275,14207.8316,NaN,NaN
1643125680,14207.8578,14245.5897,14207.8578,14244.8398,NaN,NaN
1643125740,14242.8911,14249.0408,14235.9958,14243.6356,NaN,NaN
1643125800,14244.7438,14244.7521,14233.7348,14235.0666,NaN,NaN
1643125860,14228.5108,14236.4082,14224.6193,14230.2484,NaN,NaN
1643125920,14230.2783,14235.935,14213.8392,14217.636,NaN,NaN
1643125980,14217.5483,14223.0211,14195.3623,14206.7587,NaN,NaN
1643126040,14206.0628,14212.6613,14176.9645,14182.4455,NaN,NaN
1643126100,14183.2539,14190.3042,14167.3834,14171.3396,NaN,NaN
1643126160,14171.0873,14180.0206,14168.4565,14174.6882,NaN,NaN
1643126220,14174.1166,14181.181,14162.281,14162.281,NaN,NaN
1643126280,14161.8089,14166.2419,14139.6776,14141.4029,NaN,NaN
1643126340,14139.6753,14140.4602,14132.8739,14139.8325,NaN,NaN
1643126400,14139.9297,14142.9076,14122.894,14140.0166,NaN,NaN
1643126460,14139.9275,14147.6522,14136.4167,14140.7626,NaN,NaN
1643126520,14140.5892,14165.0371,14140.5892,14145.6801,NaN,NaN
1643126580,14146.1742,14154.6711,14139.7334,14150.6012,NaN,NaN
1643126640,14150.2177,14158.6765,14148.8845,14158.6765,NaN,NaN
1643126700,14159.1082,14177.9419,14156.6334,14171.2852,NaN,NaN
1643126760,14171.3218,14171.7672,14143.9907,14154.2765,NaN,NaN
