time,open,high,low,close,Volume,Volume MA
1643315400,4.364,4.364,4.357,4.357,17,29.7
1643315460,4.357,4.358,4.352,4.357,42,31.25
1643315520,4.356,4.361,4.356,4.36,22,31.6
1643315580,4.362,4.364,4.35,4.352,34,31.45
1643315640,4.352,4.365,4.347,4.364,40,32.6
1643315700,4.363,4.363,4.36,4.361,16,32.25
1643315760,4.359,4.36,4.354,4.356,29,31.95
1643315820,4.357,4.359,4.355,4.358,28,31.4
1643315880,4.358,4.36,4.358,4.359,8,30.2
1643315940,4.36,4.36,4.355,4.357,27,30.75
1643316000,4.356,4.359,4.352,4.355,60,31.2
1643316060,4.356,4.357,4.354,4.355,30,31.75
1643316120,4.354,4.356,4.348,4.349,36,31.45
1643316180,4.35,4.353,4.349,4.349,29,32.15
1643316240,4.349,4.35,4.348,4.348,16,31
1643316300,4.349,4.352,4.336,4.338,43,31.7
1643316360,4.339,4.343,4.339,4.342,33,31.25
1643316420,4.341,4.342,4.335,4.337,51,32.55
1643316480,4.337,4.341,4.337,4.34,27,32.4
1643316540,4.341,4.342,4.336,4.342,16,30.2
1643316600,4.343,4.343,4.334,4.334,23,30.5
1643316660,4.336,4.336,4.331,4.332,36,30.2
1643316720,4.332,4.332,4.325,4.33,54,31.8
1643316780,4.331,4.333,4.324,4.327,41,32.15
1643316840,4.328,4.329,4.326,4.327,18,31.05
1643316900,4.329,4.33,4.326,4.327,26,31.55
1643316960,4.327,4.33,4.326,4.33,15,30.85
1643317020,4.329,4.332,4.326,4.327,24,30.65
1643317080,4.326,4.327,4.309,4.309,20,31.25
1643317140,4.308,4.319,4.308,4.312,60,32.9
1643317200,4.312,4.316,4.31,4.312,37,31.75
1643317260,4.313,4.318,4.313,4.316,16,31.05
1643317320,4.318,4.321,4.317,4.317,18,30.15
1643317380,4.317,4.325,4.317,4.324,16,29.5
1643317440,4.325,4.329,4.324,4.329,11,29.25
1643317500,4.328,4.332,4.328,4.331,16,27.9
1643317560,4.33,4.336,4.329,4.332,27,27.6
1643317620,4.332,4.332,4.33,4.33,12,25.65
1643317680,4.331,4.333,4.331,4.333,4,24.5
1643317740,4.331,4.333,4.33,4.33,13,24.35
1643317800,4.331,4.332,4.329,4.329,11,23.75
1643317860,4.329,4.331,4.328,4.331,13,22.6
1643317920,4.33,4.33,4.327,4.327,8,20.3
