time,open,high,low,close,Volume,Volume MA
1643316300,86.713,86.791,86.713,86.775,62,90.2
1643316360,86.775,86.811,86.767,86.78,77,87.9
1643316420,86.78,86.78,86.736,86.751,84,87.15
1643316480,86.751,86.771,86.719,86.761,110,87.7
1643316540,86.761,86.811,86.737,86.799,148,90.8
1643316600,86.799,86.869,86.765,86.86,260,100.1
1643316660,86.86,86.991,86.849,86.953,257,109.35
1643316720,86.953,87.053,86.939,86.997,194,113.95
1643316780,86.997,87.004,86.988,86.991,75,113.5
1643316840,86.991,87.014,86.988,86.998,85,114.05
1643316900,86.998,87.031,86.987,86.988,124,115
1643316960,86.988,87.052,86.889,86.897,83,112.9
1643317020,86.897,86.908,86.872,86.899,90,114.5
1643317080,86.899,86.921,86.882,86.902,90,116.2
1643317140,86.902,86.965,86.902,86.96,111,116.15
1643317200,86.96,87.021,86.948,87.012,202,122.65
1643317260,87.012,87.025,86.979,87.006,87,120.8
1643317320,87.006,87.01,86.958,86.962,76,118.8
1643317380,86.962,87.041,86.961,87.034,87,119.55
1643317440,87.034,87.042,87.029,87.041,42,117.2
1643317500,87.041,87.153,87.035,87.139,96,118.9
1643317560,87.139,87.143,87.119,87.129,43,117.2
1643317620,87.129,87.129,87.052,87.066,70,116.5
1643317680,87.066,87.072,87.064,87.07,56,113.8
1643317740,87.07,87.132,87.069,87.12,53,109.05
1643317800,87.12,87.12,87.029,87.045,54,98.75
1643317860,87.045,87.063,87.018,87.021,59,88.85
1643317920,87.021,87.021,87.005,87.021,48,81.55
1643317980,87.021,87.071,87.012,87.061,68,81.2
1643318040,87.061,87.071,87.036,87.041,88,81.35
1643318100,87.041,87.062,87.019,87.026,68,78.55
1643318160,87.026,87.043,87.005,87.019,62,77.5
1643318220,87.019,87.043,87.018,87.019,53,75.65
1643318280,87.019,87.043,87.019,87.025,35,72.9
1643318340,87.025,87.027,87.011,87.011,13,68
1643318400,87.011,87.031,87.009,87.02,22,59
1643318460,87.02,87.023,86.996,86.996,35,56.4
1643318520,86.996,87.021,86.996,87.015,43,54.75
1643318580,87.015,87.053,87.015,87.032,38,52.3
1643318640,87.032,87.055,87.022,87.041,44,52.4
1643318700,87.041,87.071,87.039,87.071,41,49.65
1643318760,87.071,87.119,87.064,87.101,30,49
1643318820,87.101,87.101,87.069,87.089,20,46.5
1643318880,87.089,87.094,87.067,87.071,51,46.25
1643318940,87.071,87.089,87.069,87.081,25,44.85
1643319000,87.081,87.121,87.059,87.116,239,54.1
1643319060,87.116,87.158,87.105,87.131,74,54.85
1643319120,87.131,87.141,87.099,87.131,50,54.95
1643319180,87.131,87.171,87.131,87.142,37,53.4
1643319240,87.142,87.161,87.139,87.139,65,52.25
1643319300,87.139,87.153,87.109,87.121,66,52.15
1643319360,87.121,87.171,87.121,87.161,43,51.2
1643319420,87.161,87.199,87.16,87.168,68,51.95
1643319480,87.168,87.174,87.141,87.142,33,51.85
1643319540,87.142,87.172,87.142,87.172,19,52.15
1643319600,87.172,87.208,87.169,87.2,101,56.1
1643319660,87.2,87.2,87.178,87.195,73,58
1643319720,87.195,87.202,87.179,87.202,69,59.3
1643319780,87.202,87.203,87.189,87.195,22,58.5
1643319840,87.195,87.206,87.182,87.206,28,57.7
1643319900,87.206,87.271,87.199,87.271,50,58.15
1643319960,87.271,87.309,87.271,87.302,33,58.3
1643320020,87.302,87.302,87.276,87.276,24,58.5
1643320080,87.276,87.302,87.26,87.289,26,57.25
1643320140,87.289,87.383,87.288,87.359,95,60.75
1643320200,87.359,87.365,87.26,87.26,54,51.5
1643320260,87.26,87.265,87.234,87.239,38,49.7
1643320320,87.239,87.239,87.223,87.229,15,47.95
1643320380,87.229,87.229,87.199,87.211,22,47.2
1643320440,87.211,87.298,87.201,87.281,57,46.8
1643320500,87.281,87.321,87.27,87.312,27,44.85
1643320560,87.312,87.323,87.309,87.317,19,43.65
1643320620,87.317,87.321,87.289,87.289,12,40.85
1643320680,87.289,87.289,87.262,87.267,42,41.3
1643320740,87.267,87.285,87.245,87.261,84,44.55
1643324400,87.261,87.467,87.261,87.328,117,45.35
1643324460,87.328,87.358,87.318,87.344,51,44.25
1643324520,87.344,87.395,87.338,87.395,33,42.45
1643324580,87.395,87.413,87.377,87.377,64,44.55
1643324640,87.377,87.386,87.369,87.369,12,43.75
1643324700,87.369,87.403,87.369,87.403,19,42.2
1643324760,87.403,87.407,87.393,87.398,17,41.4
1643324820,87.398,87.445,87.397,87.445,21,41.25
1643324880,87.445,87.471,87.444,87.461,24,41.15
1643324940,87.461,87.529,87.461,87.499,37,38.25
1643325000,87.499,87.56,87.499,87.55,52,38.15
1643325060,87.55,87.551,87.513,87.513,31,37.8
1643325120,87.513,87.523,87.513,87.516,19,38
1643325180,87.516,87.519,87.463,87.488,34,38.6
1643325240,87.488,87.488,87.446,87.461,20,36.75
1643325300,87.461,87.465,87.439,87.443,34,37.1
1643325360,87.443,87.448,87.439,87.441,44,38.35
1643325420,87.441,87.451,87.432,87.445,33,39.4
1643325480,87.445,87.451,87.399,87.399,44,39.5
1643325540,87.399,87.401,87.364,87.389,34,37
1643325600,87.389,87.411,87.371,87.379,66,34.45
1643325660,87.379,87.379,87.357,87.359,31,33.45
1643325720,87.359,87.411,87.359,87.402,70,35.3
1643325780,87.402,87.415,87.376,87.376,37,33.95
1643325840,87.376,87.411,87.369,87.408,37,35.2
1643325900,87.408,87.411,87.374,87.389,25,35.5
1643325960,87.389,87.391,87.367,87.387,28,36.05
1643326020,87.387,87.401,87.367,87.369,39,36.95
1643326080,87.369,87.409,87.369,87.402,31,37.3
1643326140,87.402,87.421,87.389,87.419,41,37.5
1643326200,87.419,87.421,87.411,87.413,19,35.85
1643326260,87.413,87.428,87.398,87.398,26,35.6
1643326320,87.398,87.407,87.383,87.402,23,35.8
1643326380,87.402,87.421,87.392,87.411,16,34.9
1643326440,87.411,87.439,87.406,87.428,16,34.7
1643326500,87.428,87.451,87.423,87.43,27,34.35
1643326560,87.43,87.431,87.418,87.421,18,33.05
1643326620,87.421,87.425,87.389,87.389,14,32.1
1643326680,87.389,87.392,87.359,87.359,18,30.8
1643326740,87.359,87.363,87.348,87.348,17,29.95
1643326800,87.348,87.398,87.348,87.396,22,27.75
1643326860,87.396,87.441,87.368,87.428,57,29.05
1643326920,87.428,87.451,87.422,87.451,28,26.95
1643326980,87.451,87.47,87.449,87.455,26,26.4
1643327040,87.455,87.471,87.442,87.455,37,26.4
1643327100,87.455,87.47,87.449,87.462,47,27.5
1643327160,87.462,87.471,87.429,87.432,55,28.85
1643327220,87.432,87.441,87.408,87.441,33,28.55
1643327280,87.441,87.458,87.429,87.451,37,28.85
1643327340,87.451,87.453,87.429,87.431,24,28
1643327400,87.431,87.455,87.429,87.455,31,28.6
1643327460,87.455,87.457,87.447,87.447,11,27.85
1643327520,87.447,87.447,87.419,87.421,16,27.5
1643327580,87.421,87.423,87.399,87.411,11,27.25
1643327640,87.411,87.458,87.399,87.455,26,27.75
1643327700,87.455,87.459,87.419,87.43,37,28.25
1643327760,87.43,87.451,87.422,87.449,32,28.95
1643327820,87.449,87.451,87.394,87.401,35,30
1643327880,87.401,87.402,87.353,87.362,54,31.8
1643327940,87.362,87.372,87.355,87.359,20,31.95
1643328000,87.359,87.359,87.307,87.335,84,35.05
1643328060,87.335,87.338,87.26,87.265,53,34.85
1643328120,87.265,87.301,87.261,87.289,145,40.7
1643328180,87.289,87.301,87.267,87.299,49,41.85
1643328240,87.299,87.342,87.299,87.315,38,41.9
1643328300,87.315,87.328,87.298,87.301,31,41.1
1643328360,87.301,87.311,87.279,87.295,50,40.85
1643328420,87.295,87.322,87.282,87.322,33,40.85
1643328480,87.322,87.328,87.269,87.269,27,40.35
1643328540,87.269,87.309,87.241,87.252,69,42.6
1643328600,87.252,87.291,87.251,87.286,36,42.85
1643328660,87.286,87.323,87.279,87.295,33,43.95
1643328720,87.295,87.312,87.279,87.292,29,44.6
1643328780,87.292,87.349,87.285,87.335,31,45.6
1643328840,87.335,87.394,87.335,87.378,38,46.2
1643328900,87.378,87.394,87.312,87.331,65,47.6
1643328960,87.331,87.331,87.279,87.297,31,47.55
1643329020,87.297,87.321,87.292,87.308,38,47.7
1643329080,87.308,87.311,87.259,87.259,27,46.35
1643329140,87.259,87.271,87.252,87.262,28,46.75
1643329200,87.262,87.281,87.252,87.261,37,44.4
1643329260,87.261,87.261,87.24,87.249,32,43.35
1643329320,87.249,87.255,87.209,87.211,33,37.75
1643329380,87.211,87.237,87.197,87.198,55,38.05
1643329440,87.198,87.241,87.196,87.218,74,39.85
1643329500,87.218,87.272,87.202,87.235,55,41.05
1643329560,87.235,87.241,87.209,87.212,42,40.65
1643329620,87.212,87.218,87.198,87.212,35,40.75
1643329680,87.212,87.247,87.212,87.238,58,42.3
1643329740,87.238,87.258,87.209,87.218,21,39.9
1643329800,87.218,87.218,87.189,87.189,37,39.95
1643329860,87.189,87.189,87.107,87.112,85,42.55
1643329920,87.112,87.118,87.092,87.103,65,44.35
1643329980,87.103,87.128,87.078,87.128,62,45.9
1643330040,87.128,87.152,87.122,87.146,50,46.5
1643330100,87.146,87.181,87.139,87.159,38,45.15
1643330160,87.159,87.179,87.139,87.159,37,45.45
1643330220,87.159,87.181,87.139,87.175,39,45.5
1643330280,87.175,87.178,87.147,87.169,23,45.3
1643330340,87.169,87.188,87.169,87.185,29,45.35
1643330400,87.185,87.187,87.134,87.141,33,45.15
1643330460,87.141,87.191,87.139,87.177,38,45.45
1643330520,87.177,87.187,87.159,87.163,25,45.05
1643330580,87.163,87.191,87.162,87.185,22,43.4
1643330640,87.185,87.231,87.161,87.161,53,42.35
1643330700,87.161,87.178,87.159,87.169,40,41.6
1643330760,87.169,87.169,87.105,87.151,47,41.85
1643330820,87.151,87.201,87.151,87.195,49,42.55
1643330880,87.195,87.231,87.195,87.231,27,41
1643330940,87.231,87.251,87.209,87.211,49,42.4
1643331000,87.211,87.241,87.209,87.211,27,41.9
1643331060,87.211,87.227,87.191,87.211,39,39.6
1643331120,87.211,87.267,87.211,87.238,29,37.8
1643331180,87.238,87.258,87.215,87.221,52,37.3
1643331240,87.221,87.251,87.199,87.251,34,36.5
1643331300,87.251,87.261,87.241,87.261,37,36.45
1643331360,87.261,87.271,87.259,87.271,76,38.4
1643331420,87.271,87.331,87.266,87.329,34,38.15
1643331480,87.329,87.329,87.292,87.327,44,39.2
